movement,scenario,speed,angle,duration,hit,prompt_v1,prompt_v2,prompt_v3
punch,all_wrong,low,incorrect,short,False,"It looks like your jab and cross need some refinement. Focus on improving your footwork to maintain the correct angle; this will enhance your reach and make it easier to land clean shots. Additionally, try to extend your punches for a longer duration to generate more power and ensure you’re connecting with your target effectively. Keep practicing, and we'll work on building that speed!","To improve your jab/cross punch, focus on increasing your speed by engaging your core and driving power from your legs into the punch; practice explosive drills like shadow boxing with resistance bands. Adjust your angle by ensuring your shoulder aligns with your target, allowing for a more direct and powerful strike. Lastly, extend the duration of your punches by maintaining proper form throughout the movement, giving yourself enough time to hit the target accurately.","PROBLEM: The jab/cross punch lacks speed and precision, resulting in missed targets.  
FIX: Focus on increasing your punch velocity by engaging your core and using proper footwork to create more power; also, ensure your arm extension and alignment are correct to hit the target consistently.  
MOTIVATION: With a little more practice and refinement, you’ll see significant improvements in your punching speed and accuracy—keep pushing forward!"
punch,correct,good,correct,normal,True,"Great job on your jab and cross combinations! Your speed is impressive, and you've maintained the right angles, which will help you avoid counters. Keep up the good work, and continue to focus on your timing to ensure you land those punches effectively throughout your rounds.","Since no errors were detected in your jab/cross punch movement, maintain this consistency in your technique. To enhance your performance, consider incorporating additional drills that boost your reaction time and precision, ensuring you can execute these punches effectively under pressure. Regularly review your footwork and stance to maintain balance and power as you throw punches.","PROBLEM: Your jab/cross combination lacks consistent follow-through after the cross.  
FIX: Focus on maintaining your guard up and quickly returning your hands to the starting position after the punch.  
MOTIVATION: You're doing a great job, keep refining those techniques and you'll see even more improvement!"
punch,slow,low,correct,normal,False,"Your jab and cross have the right angles, which is great, but you need to work on increasing your speed. Focus on snapping the punches out quickly while maintaining your form. Remember, even if you're going for power, speed can catch your opponent off guard. Keep practicing!","To increase your jab/cross speed, focus on explosive power from your legs and hips; practice shadowboxing with a metronome to facilitate quicker hand movement while maintaining form. Additionally, improve your accuracy by using target pads or bags; aim for a specific point with each punch, ensuring you fully extend your reach while maintaining balance. Consistent drills will enhance both your speed and precision in future movements.","PROBLEM: Speed is too low and the target was missed.  
FIX: Focus on explosive power in your legs and core to generate more speed in your punches, ensuring you fully commit to the jab and cross combination while maintaining your target focus.  
MOTIVATION: With consistent practice, you'll see your speed and accuracy improve, making you a formidable opponent in the ring!"
punch,slow_and_too_short,low,correct,short,False,"Your jab is taking too long to execute, which affects your overall speed. Focus on quickening your hand movement while maintaining the correct angle, as this will help you improve your precision. Remember, even though you didn’t land the punch, keep practicing to shorten the duration and improve your timing against an opponent.","To improve your jab/cross punch, focus on increasing your hand speed through explosive movement drills, such as shadow boxing or using a speed bag for quick, repetitive strikes. Additionally, extend the duration of your punch by fully committing to the extension and follow-through, ensuring your fist travels through the target rather than stopping short. Practice targeting precision by using a visual marker or target pad, which will help you improve accuracy and avoid missing the mark.","PROBLEM: The jab/cross combination lacks speed, resulting in a missed target.  
FIX: Focus on accelerating your punches by utilizing your legs and hips to generate more power, while also ensuring to extend your reach toward the target.  
MOTIVATION: With consistent practice and adjustment, you'll soon see your speed and accuracy improve, making your punches more effective!"
punch,slow_and_wrong_angle,low,incorrect,normal,False,"Your jab and cross lack speed, which is affecting your overall effectiveness. Focus on improving your footwork and body positioning to ensure better angles for your punches. Remember to snap your punches back quickly after hitting the target to reset for your next move.","To improve your jab/cross punch, focus on increasing your hand speed by engaging your core and using your legs for more power and quickness in your movements. Ensure the angle of your punch is more aligned with your target by rotating your shoulder and hip fully into the strike, which will also help in maintaining accuracy. Practice shadow boxing with a mirror or VR feedback to monitor and refine both your speed and angle in real-time.","PROBLEM: The jab/cross punch combination is lacking speed, resulting in a missed target.  
FIX: Focus on explosiveness in your punches by incorporating quicker footwork and wrist snap for a faster extension.  
MOTIVATION: With practice, you'll see improvements in both speed and accuracy, turning your punches into powerful strikes!"
punch,too_short,good,correct,short,False,"Your speed is excellent; you're able to throw your jab and cross quickly. Focus on maintaining your distance and angle, as this will help you connect more effectively with your punches. Remember to follow through with each shot, even if it feels short, to maximize your reach and power. Keep practicing to improve your accuracy!","To improve your jab/cross punch, extend the duration of your punch execution by focusing on a smoother follow-through; this will help maintain control and accuracy. Additionally, practice targeting drills to enhance your precision, ensuring you consistently hit the intended mark. Incorporating slow-motion practice can also help reinforce proper technique while allowing you to adjust your aim effectively.","PROBLEM: The jab/cross punch duration is too short, leading to a missed target.  
FIX: Focus on extending your arm and maintaining your technique through the full range of motion to ensure the punch lands effectively.  
MOTIVATION: With practice and persistence, you'll master your timing and accuracy in no time!"
punch,wrong_angle,good,incorrect,normal,False,"You've got the speed down, which is great, but we need to work on your angle. When you throw your jab and cross, make sure to rotate your shoulders and pivot your feet to create better positioning. This will enable you to generate more power and accuracy in your punches while maintaining balance. Let’s focus on adjusting that angle during our next drills.","To improve your jab and cross, focus on adjusting the angle of your punches to ensure they align with your target. Practice opening your shoulders and rotating your hips slightly more during your delivery to achieve the correct trajectory. Additionally, consider shadowboxing in front of a mirror or recording your movements to visually assess and correct any discrepancies in your aim.","PROBLEM: The angle of your jab and cross punch is incorrect, causing you to miss the target.  
FIX: Rotate your hips and shoulders more to align your punches straight toward the target for better accuracy.  
MOTIVATION: Keep working on your form; with practice, you'll see significant improvements in your accuracy and power!"
squat,all_wrong,low,incorrect,short,False,"It looks like you're moving a bit too quickly through the squat, which can compromise your form and effectiveness. Focus on maintaining a slower, controlled tempo to ensure you're engaging the right muscles and hitting the proper depth. Try to keep your back straight and your knees aligned over your toes for better stability and safety during the movement. Let's aim for quality over quantity!","To improve your squat performance, focus on increasing your speed by engaging your muscles more explosively during the ascent and descent phases of the movement. Ensure your knees track over your toes to achieve the correct angle; consider using a mirror or visual cue to help align your form. Lastly, extend the duration of the squat by holding the position at the bottom for a moment before rising to enhance strength and stability.","PROBLEM: The squat movement is too slow and the angle is incorrect, which affects form and effectiveness.  
FIX: Increase the speed of your descent and ensure your hips drop below knee level to achieve the correct squat angle.  
MOTIVATION: You're capable of improving your form—focus on the adjustments, and you'll feel the difference in your strength and technique!"
squat,correct,good,correct,normal,True,"Great job on your squat! Your speed is impressive, and you’ve maintained the correct angle throughout the movement, which is crucial for form and safety. Keep up the consistent duration, and you're on your way to building strength effectively!","Great job on maintaining your speed, angle, and duration during the squat! Since no errors were detected, continue to focus on engaging your core throughout the movement to maximize stability and power. Additionally, consider varying your squat depth in future sessions to enhance overall strength and flexibility. Keep up the good work!","PROBLEM: No errors detected, indicating that the movement is being performed correctly.  
FIX: Maintain consistency in form and focus on engaging the right muscles to enhance performance further.  
MOTIVATION: Great job on executing the squat perfectly – keep up the excellent work and continue to challenge yourself!"
squat,slow,low,correct,normal,False,"Great job maintaining a correct angle during your squat! To ensure you maximize the benefits of the exercise, try to increase your speed slightly while still focusing on control. Remember to engage your core throughout the movement to enhance stability and support your form. Keep it up!","To improve your squat performance, focus on increasing your speed during the movement by engaging your core and driving through your heels more explosively. Additionally, practice proper pacing drills; start with lighter weights or bodyweight to build speed before progressing to heavier loads. This will help ensure you hit your target more consistently while maintaining proper form.","PROBLEM: Your squat speed is too low, resulting in a missed target.  
FIX: Focus on generating more explosive power during the upward phase of the squat to increase your speed while maintaining control.  
MOTIVATION: You've got the right form—let's channel that energy and pick up the pace to reach your goals!"
